Level;Type;Guid;GroupType;Abbreviations;AbbreviationPrefix;ExpandAt;ExpandAtDelimiters;ExpandAfter;ExpandAfterDelimiters;CaseSensitivity;ApplicationAvailabilityMode;ApplicationAvailabilityApplications;ShowInMenuBar;ShowInMenuBarAtFirstLevel;SuggestAbbreviations;Parameters;ContentType;Text;Html;Label;Tag;Note;ScriptType;ScriptingHost;ScriptWorkingDirectory;FileContent;IsRelative;DateCreated;LastTimeUsed
2;0;1ea85deb-95ae-4071-af30-a743a5521a64;0;!=++;;0;;0;;;0;;False;False;False;;0;≠;;;;;;;;;;0;1608705493
2;0;21e5c8a8-2b33-4703-8b77-f86fe9efcf51;0;<<=+;;0;;0;;0;0;;False;False;False;;0;⩽;;;;;;;;;;0;1608707539
2;0;e863cd96-88ed-4f2d-b23d-5d7ae24332e6;0;>>=+;;0;;0;;0;0;;False;False;False;;0;⩾;;;;;;;;;;0;1608707574
2;0;d1ab3ba6-7049-4bc5-95c6-c76975e9a1d4;0;<=++;;0;;0;;;0;;False;False;False;;0;≤;;;;;;;;;;0;1608915660
2;0;1b307cd9-fea7-4690-b043-b6755e203073;0;>=++;;0;;0;;0;0;;False;False;False;;0;≥;;;;;;;;;;0;1608789859
1;1;5e4533ce-67af-4252-8ac1-509c67f4ec03;0;;;2;;0;	;0;0;;True;False;True;;0;;;Latex;;;;;;;;1609834030;0
2;0;c534a4bd-19e6-4608-90f6-2381c179ccd6;0;\emptyset;;0;;0;;0;0;;False;False;False;;0;∅;;;;;;;;;;0;0
2;0;20a674e2-e67e-45ad-9a32-b7f512a3843a;0;\O;;0;;0;;0;0;;False;False;False;;0;Ø;;;;;;;;;;0;1608704394
2;0;b0877b5b-c645-4a41-b62f-8bf16a332e05;0;\o;;0;;0;;0;0;;False;False;False;;0;ø;;;;;;;;;;0;1608704392
2;0;6df538ce-ca70-4587-bad8-3bff95d6195f;0;\times;;0;;0;;0;0;;False;False;False;;0;×;;;;;;;;;;0;0
2;0;7be3f5d0-3e7a-41e0-8342-0774db528790;0;\ell;;0;;0;;0;0;;False;False;False;;0;ℓ;;;;;;;;;;0;0
